subject,arm,timepoint,query,tax_id,parent_tax_id
10,P,0,SRR5580236.1299332,1026955,196896
10,P,0,SRR5580236.1959760,205872,1623282
10,P,0,SRR5580238.1489725,264987,196894
10,P,0,SRR5580236.1400532,760732,329380
10,P,0,SRR5580239.1792460,173707,196894
10,P,0,SRR5580233.451297,335924,196896
10,P,0,SRR5580233.612017,1211640,196894
10,P,0,SRR5580238.3018586,38018,12333
10,P,0,SRR5580237.4948242,1211643,1623296
10,P,0,SRR5580237.1443635,709484,1913656
10,P,0,SRR5580236.945347,38018,12333
10,P,0,SRR5580236.1277931,1289600,12333
10,P,0,SRR5580238.1492904,1340819,196894
10,P,0,SRR5580237.849389,1175657,1982098
10,P,0,SRR5580233.1025349,1161927,196896
10,P,0,SRR5580238.3022916,1211643,1623296
10,P,0,SRR5580236.1114339,38018,12333
10,P,0,SRR5580233.478219,1035485,1993871
10,P,0,SRR5580233.2537820,861448,12333
10,P,0,SRR5580237.8071338,38018,12333
10,P,0,SRR5580236.1096899,112596,12333
10,P,0,SRR5580239.1182479,663556,2006134
10,P,0,SRR5580239.413117,701257,1623290
10,P,0,SRR5580237.5162503,182851,196894
10,P,0,SRR5580236.1273517,861448,12333
10,P,0,SRR5580239.1072009,335924,196896
10,P,0,SRR5580233.2420698,1150989,352888
10,P,0,SRR5580238.367163,1432847,79205
10,P,0,SRR5580237.5842201,38018,12333
10,P,0,SRR5580237.223755,1141136,196896
10,P,0,SRR5580237.1113170,12336,196896
10,P,0,SRR5580237.6244452,38018,12333
10,P,0,SRR5580238.1684818,1357712,196894
10,P,0,SRR5580236.2347880,335924,196896
10,P,0,SRR5580238.117526,571950,12333
10,P,0,SRR5580237.355735,754042,196894
10,P,0,SRR5580237.8028839,235265,329158
10,P,0,SRR5580233.94072,1220717,12333
10,P,0,SRR5580238.2874576,1277892,1758253
10,P,0,SRR5580238.276935,546805,196896
10,P,0,SRR5580236.1473836,38018,12333
